nconst	primaryName	birthYear	deathYear
nm0000137	Bo Derek	1956	\N
nm0000145	Sherilyn Fenn	1965	\N
nm0000157	Linda Hamilton	1956	\N
nm0000162	Anne Heche	1969	\N
nm0000176	Nastassja Kinski	1961	\N
nm0000222	Brooke Shields	1965	\N
nm0000227	Mira Sorvino	1967	\N
nm0000261	Karen Allen	1951	\N
nm0000268	Ann-Margret	1941	\N
nm0000284	Adam Baldwin	1962	\N
nm0000287	William Baldwin	1963	\N
nm0000304	Linda Blair	1959	\N
nm0000308	Ernest Borgnine	1917	2012
nm0000310	Bruce Boxleitner	1950	\N
nm0000327	Lacey Chabert	1982	\N
nm0000335	Glenn Close	1947	\N
nm0000336	James Coburn	1928	2002
nm0000337	Rachael Leigh Cook	1979	\N
nm0000349	Joan Cusack	1962	\N
nm0000357	Lolita Davidovich	1961	\N
nm0000376	Fran Drescher	1957	\N
nm0000383	Jennifer Ehle	1969	\N
nm0000385	Sam Elliott	1944	\N
nm0000392	Morgan Fairchild	1950	\N
nm0000393	Peter Falk	1927	2011
nm0000405	Michelle Forbes	1965	\N
nm0000407	Vivica A. Fox	1964	\N
nm0000418	Danny Glover	1946	\N
nm0000427	Pam Grier	1949	\N
nm0000430	Steve Guttenberg	1958	\N
nm0000447	Marilu Henner	1952	\N
nm0000448	Lance Henriksen	1940	\N
nm0000449	Natasha Henstridge	1974	\N
nm0000452	Lauren Holly	1963	\N
nm0000458	William Hurt	1950	\N
nm0000469	James Earl Jones	1931	\N
nm0000477	Mia Kirshner	1975	\N
nm0000481	Alice Krige	1954	\N
nm0000492	Jennifer Jason Leigh	1962	\N
nm0000502	Christopher Lloyd	1938	\N
nm0000504	Amy Locane	1971	\N
nm0000510	Andie MacDowell	1958	\N
nm0000511	Shirley MacLaine	1934	\N
nm0000516	Lee Majors	1939	\N
nm0000522	Vanessa Marcil	1968	\N
nm0000526	Samantha Mathis	1970	\N
nm0000530	Andrew McCarthy	1962	\N
nm0000534	Kelly McGillis	1957	\N
nm0000549	Roger Moore	1927	2017
nm0000551	Dermot Mulroney	1963	\N
nm0000555	Judd Nelson	1959	\N
nm0000571	Mary-Louise Parker	1964	\N
nm0000580	Luke Perry	1966	2019
nm0000594	Jason Priestley	1969	\N
nm0000608	Burt Reynolds	1936	2018
nm0000612	Denise Richards	1971	\N
nm0000613	Joely Richardson	1965	\N
nm0000616	Eric Roberts	1956	\N
nm0000633	Tom Selleck	1945	\N
nm0000639	Ally Sheedy	1962	\N
nm0000641	Gary Sinise	1955	\N
nm0000642	Marina Sirtis	1955	\N
nm0000643	Tom Skerritt	1933	\N
nm0000646	Jaclyn Smith	1945	\N
nm0000663	Dominique Swain	1980	\N
nm0000670	Lea Thompson	1961	\N
nm0000679	Deborah Kara Unger	1966	\N
nm0000680	Casper Van Dien	1968	\N
nm0000685	Jon Voight	1938	\N
nm0000686	Christopher Walken	1943	\N
nm0000690	Lesley Ann Warren	1946	\N
nm0000707	Sean Young	1959	\N
nm0000714	Willie Aames	1960	\N
nm0000737	Jane Alexander	1939	\N
nm0000775	Christina Applegate	1971	\N
nm0000787	Bess Armstrong	1953	\N
nm0000792	Tom Arnold	1959	\N
nm0000798	Linden Ashby	1960	\N
nm0000799	Edward Asner	1929	2021
nm0000807	Jane Austen	1775	1817
nm0000880	Meredith Baxter	1947	\N
nm0000884	Jennifer Beals	1963	\N
nm0000889	Bonnie Bedelia	1948	\N
nm0000893	Ed Begley Jr.	1949	\N
nm0000903	Brian Benben	1956	\N
nm0000911	Nigel Bennett	1949	\N
nm0000913	Robby Benson	1956	\N
nm0000924	Elizabeth Berkley	1972	\N
nm0000929	Corbin Bernsen	1954	\N
nm0000933	Valerie Bertinelli	1960	\N
nm0000960	Barry Bostwick	1945	\N
nm0000961	Timothy Bottoms	1951	\N
nm0000966	Lorraine Bracco	1954	\N
nm0000968	Sônia Braga	1950	\N
nm0000977	Beau Bridges	1941	\N
nm0000981	James Brolin	1940	\N
nm0001001	James Caan	1940	\N
nm0001002	Dean Cain	1966	\N
nm0001007	Dyan Cannon	1937	\N
nm0001014	Mariah Carey	1969	\N
nm0001026	Joanna Cassidy	1945	\N
nm0001028	Maxwell Caulfield	1959	\N
nm0001043	Anna Chlumsky	1980	\N
nm0001061	Holly Marie Combs	1973	\N
nm0001074	Ronny Cox	1938	\N
nm0001089	Henry Czerny	1959	\N
nm0001092	Mark Dacascos	1964	\N
nm0001117	Bruce Davison	1946	\N
nm0001126	Kim Delaney	1961	\N
nm0001127	Dana Delany	1956	\N
nm0001131	Patrick Dempsey	1966	\N
nm0001136	Bruce Dern	1936	\N
nm0001137	William Devane	1939	\N
nm0001141	Angie Dickinson	1931	\N
nm0001147	Shannen Doherty	1971	\N
nm0001155	Patrick Duffy	1949	\N
nm0001157	Patty Duke	1946	2016
nm0001164	Charles Durning	1923	2012
nm0001174	Barbara Eden	1931	\N
nm0001194	Jeff Fahey	1952	\N
nm0001216	Tara Fitzgerald	1967	\N
nm0001217	Fionnula Flanagan	1941	\N
nm0001218	Sean Patrick Flanery	1965	\N
nm0001221	Louise Fletcher	1934	\N
nm0001227	Megan Follows	1968	\N
nm0001242	Matt Frewer	1958	\N
nm0001251	Peter Gallagher	1955	\N
nm0001255	Victor Garber	1949	\N
nm0001259	Jennie Garth	1972	\N
nm0001263	Jason Gedrick	1965	\N
nm0001269	Cynthia Gibb	\N	\N
nm0001271	Melissa Gilbert	1964	\N
nm0001272	Annabeth Gish	1971	\N
nm0001277	Scott Glenn	1939	\N
nm0001285	Elliott Gould	1938	\N
nm0001292	Erin Gray	1950	\N
nm0001313	George Hamilton	1939	\N
nm0001315	Marcia Gay Harden	1959	\N
nm0001320	Valerie Harper	1939	2019
nm0001337	Katherine Heigl	1978	\N
nm0001340	Katherine Helmond	1929	2019
nm0001341	Florence Henderson	1934	2016
nm0001346	Edward Herrmann	1943	2014
nm0001349	Jennifer Love Hewitt	1979	\N
nm0001367	C. Thomas Howell	1966	\N
nm0001368	Ernie Hudson	1945	\N
nm0001418	David Keith	1954	\N
nm0001419	Sally Kellerman	1937	2022
nm0001421	George Kennedy	1925	2016
nm0001440	Cheryl Ladd	1951	\N
nm0001458	Cloris Leachman	1926	2021
nm0001480	Shelley Long	1949	\N
nm0001487	John Lynch	1961	\N
nm0001507	Cheech Marin	1946	\N
nm0001513	Tim Matheson	1947	\N
nm0001516	Rue McClanahan	1934	2010
nm0001527	Elizabeth McGovern	1961	\N
nm0001529	Nancy McKeon	1966	\N
nm0001533	Meat Loaf	1947	2022
nm0001535	Dale Midkiff	1959	\N
nm0001543	Gretchen Mol	1972	\N
nm0001555	Rob Morrow	1962	\N
